1513035513    Linux 3.16.0-4-amd64 (worker2) 	12/11/17 	_x86_64_	(1 CPU) 
1513035514     
1513035514    17:38:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513035514    17:38:34     all    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96 
1513035515    17:38:35     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513035516    17:38:36     all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513035517    17:38:37     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035518    17:38:38     all    0.00    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   97.03 
1513035519    17:38:39     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035520    17:38:40     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035521    17:38:41     all    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513035522    17:38:42     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513035523    17:38:43     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035524    17:38:44     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513035525    17:38:45     all    3.03    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   86.87 
1513035526    17:38:46     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035527    17:38:47     all    4.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00 
1513035528    17:38:48     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035529    17:38:49     all    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90 
1513035530    17:38:50     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035531    17:38:51     all    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90 
1513035532    17:38:52     all    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035533    17:38:53     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513035534    17:38:54     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513035535    17:38:55     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
