1513067032    Linux 3.16.0-4-amd64 (worker1) 	12/12/17 	_x86_64_	(1 CPU) 
1513067033     
1513067033    02:23:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513067033    02:23:53     all    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92 
1513067034    02:23:54     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067035    02:23:55     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067036    02:23:56     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067037    02:23:57     all    1.01    0.00    3.03    2.02    0.00    0.00    0.00    0.00    0.00   93.94 
1513067038    02:23:58     all    7.14    0.00    7.14    1.02    0.00    0.00    0.00    0.00    0.00   84.69 
1513067039    02:23:59     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067040    02:24:00     all    5.10    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   87.76 
1513067041    02:24:01     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067042    02:24:02     all    4.08    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   89.80 
1513067043    02:24:03     all    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92 
1513067044    02:24:04     all    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95 
1513067045    02:24:05     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067046    02:24:06     all    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067047    02:24:07     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067048    02:24:08     all    0.00    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   95.96 
1513067049    02:24:09     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067050    02:24:10     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
