1513129859    Linux 3.16.0-4-amd64 (worker2) 	12/12/17 	_x86_64_	(1 CPU) 
1513129860     
1513129860    19:50:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513129860    19:51:00     all    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94 
1513129861    19:51:01     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129862    19:51:02     all    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92 
1513129863    19:51:03     all    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513129864    19:51:04     all    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97 
1513129865    19:51:05     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129866    19:51:06     all    1.98    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   95.05 
1513129867    19:51:07     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129868    19:51:08     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129869    19:51:09     all    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513129870    19:51:10     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129871    19:51:11     all    3.06    0.00    8.16    1.02    0.00    0.00    0.00    0.00    0.00   87.76 
1513129872    19:51:12     all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513129873    19:51:13     all    4.04    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   90.91 
1513129874    19:51:14     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129875    19:51:15     all    5.05    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   88.89 
1513129876    19:51:16     all    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513129877    19:51:17     all    3.03    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   90.91 
1513129878    19:51:18     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129879    19:51:19     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129880    19:51:20     all    0.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513129881    19:51:21     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513129882    19:51:22     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129883    19:51:23     all    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93 
1513129884    19:51:24     all    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04 
1513129885    19:51:25     all    0.00    0.00    3.00    2.00    0.00    0.00    0.00    0.00    0.00   95.00 
1513129886    19:51:26     all    4.04    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   90.91 
1513129887    19:51:27     all    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513129888    19:51:28     all    4.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00 
1513129889    19:51:29     all    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94 
1513129890    19:51:30     all    3.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   91.00 
1513129891    19:51:31     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129892    19:51:32     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129893    19:51:33     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513129894    19:51:34     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513129895    19:51:35     all    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97 
1513129896    19:51:36     all    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00 
